n_gen	99_mu	37_mu	60_mu	114_mu	18_mu	-1_mu	73_mu	-5_mu	-4_mu	-3_mu	-2_mu	99_sig	37_sig	60_sig	114_sig	18_sig	-1_sig	73_sig	-5_sig	-4_sig	-3_sig	-2_sig	node.brow_mean	node.current_brow_mean_ln_prior_density	ln_posterior	
118000	48.315827	47.613308	50.576552	49.386892	49.988035	50.625682	50.252716	47.264010	49.930979	49.191270	51.048705	2.139604	1.889566	1.888886	2.489489	2.117037	1.892513	2.038100	2.138309	2.087143	2.244097	2.590562	18.020014	-1.439153	-7.336680	
120000	47.432842	51.596921	47.655881	51.171230	48.918548	51.195697	50.562588	47.763657	49.816115	51.474210	51.195697	1.890648	2.234484	2.030590	1.972918	1.465237	1.830781	2.087540	1.826781	2.030590	2.317096	1.830781	16.826791	-0.933939	-10.283596	
122000	51.556853	50.465073	51.599265	51.033045	49.632758	51.195697	49.810490	50.198053	51.418339	49.785624	49.785624	2.338447	2.482050	1.609484	1.821679	2.183139	1.830781	2.409174	1.821679	2.409174	2.183139	2.183139	16.593317	-1.001634	-7.305121	
124000	50.340806	50.051981	48.218264	51.680287	49.405936	50.340806	48.126619	50.340806	48.218264	50.051981	48.218264	2.379034	1.805742	2.782350	2.391158	1.920574	2.168967	2.136348	2.379034	2.349633	1.805742	2.349633	17.908381	-1.331517	-10.756248	
126000	48.892182	51.470109	50.166077	48.763779	50.262063	50.340806	49.417786	48.582344	49.460729	50.477438	48.218264	1.867183	1.549430	1.870097	2.171801	1.715468	2.168967	2.190069	2.116419	1.835516	1.715468	2.349633	17.281775	-0.958637	-5.644767	
128000	51.982113	48.370540	48.568280	49.851352	47.106650	50.340806	49.037262	48.477796	50.445251	48.981720	48.981720	1.866142	1.897869	1.857712	1.727957	1.925097	2.168967	2.257613	1.727957	1.572686	2.094679	2.094679	17.366792	-0.986207	-5.411507	
130000	50.441618	49.692718	51.071959	50.074455	51.717247	47.917112	51.929131	50.786113	51.699120	52.121856	50.732199	2.160236	2.330028	2.265822	2.612085	2.504831	2.160236	2.333582	1.984366	1.961859	1.963585	2.333582	15.365082	-2.255417	-6.937383	
132000	49.185298	49.005511	48.525494	47.930238	50.105445	47.917112	48.509264	49.063988	48.525494	49.005511	50.732199	2.354327	1.977646	1.932448	1.951757	1.953772	2.160236	2.139583	2.280912	1.932448	1.977646	2.333582	17.189851	-0.936960	-5.344922	
134000	51.222774	52.472160	49.445153	52.394914	51.037729	50.398362	51.179009	52.068590	51.179009	51.037729	50.689718	2.174058	2.041377	2.167371	1.776583	2.271339	1.504718	2.302709	1.962213	2.302709	2.271339	2.257553	17.138190	-0.928487	-11.167907	
136000	52.256946	48.467085	50.212586	49.980881	49.414580	50.398362	50.251546	50.624274	50.383162	51.064894	50.689718	2.057938	2.029816	2.330630	2.104358	1.922221	1.504718	2.050215	2.168114	2.195991	1.874050	2.257553	19.534531	-4.130862	-6.734834	
